☔降水量の合計(mm),🌡️平均気温(℃),💨平均風速(m/s),🧭最多風向(16方位),🏢都道府県,🏙️市区町村,❄️降雪量合計(cm),⚪未使用,☔降水量の合計(mm):Base,💧平均湿度(％),☁️平均雲量(10分比),♨️平均蒸気圧(hPa),🔄平均現地気圧(hPa),☀️日照時間(時間),🌨️雪日数(日),⚡雷日数(日),🌫️霧日数(日)
1993-11,14.4,2.3,➡️南東,福岡県,福岡市,0,0,129.5,74,7.3,12.5,1020.2,93.0,0,0,0
1993-12,8.9,3.0,➡️南東,福岡県,福岡市,0,0,61.0,63,6.6,7.4,1021.8,117.9,2,2,0
1994-01,7.1,2.7,➡️南東,福岡県,福岡市,0,0,62.0,65,7.0,6.7,1018.8,106.0,7,0,0
1994-02,7.2,3.2,➡️南東,福岡県,福岡市,0,0,97.5,64,7.1,6.5,1015.9,110.8,3,2,0
1994-03,8.9,3.0,➡️南東,福岡県,福岡市,0,0,48.5,61,6.5,7.2,1018.9,178.3,1,1,0
1994-04,15.8,2.7,➡️南東,福岡県,福岡市,0,0,171.5,70,7.0,12.6,1012.9,181.1,0,2,0
1994-05,20.5,3.0,➡️南東,福岡県,福岡市,0,0,69.5,64,5.8,15.4,1008.5,208.4,0,0,0
1994-06,22.3,2.8,⬆️北北西,福岡県,福岡市,0,0,150.5,78,8.0,20.9,1006.7,146.4,0,0,0
1994-07,29.6,2.8,⬆️北北西,福岡県,福岡市,0,0,18.5,71,4.2,29.0,1005.4,311.4,0,1,0
1994-08,29.8,3.1,⬆️北,福岡県,福岡市,0,0,32.0,66,4.1,27.3,1009.1,279.3,0,5,0
1994-09,24.6,3.2,⬆️北,福岡県,福岡市,0,0,161.5,69,5.3,21.2,1008.4,201.4,0,4,0
1994-10,19.7,2.6,⬆️北,福岡県,福岡市,0,0,20.5,65,5.2,14.9,1016.0,193.5,0,0,0
1994-11,15.2,1.9,➡️南東,福岡県,福岡市,0,0,34.0,67,4.6,11.6,1021.8,167.8,0,1,0
1994-12,10.1,2.4,➡️南東,福岡県,福岡市,0,0,25.0,65,7.0,8.2,1022.2,93.7,2,0,0
1995-01,6.9,3.2,⬆️北北西,福岡県,福岡市,1,0,86.5,58,7.2,5.9,1020.2,113.3,10,0,0
1995-02,7.1,2.4,➡️南東,福岡県,福岡市,2,0,31.0,64,6.2,6.4,1019.1,142.3,3,1,0
1995-03,10.1,2.8,➡️南東,福岡県,福岡市,3,0,113.5,67,6.5,8.5,1015.8,147.8,2,3,0
1995-04,14.4,2.6,➡️南東,福岡県,福岡市,0,0,107.0,67,6.7,11.3,1013.8,172.1,0,1,0
1995-05,18.4,2.9,⬆️北北西,福岡県,福岡市,0,0,256.0,69,6.0,14.5,1010.7,216.9,0,2,0
