発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2007-11-15,-,-,-,カプコン,バイオハザードアンブレラ・クロニクルズ,-,10855,27,,-,,,,,,,,
2007-11-15,32,"￥7,000代",SHT,カプコン,バイオハザードアンブレラ・クロニクルズエキスパートパッケージ(Wiiザッパー同梱版),-,10857,0,,-,,,,,,,,
2007-11-22,30,"￥6,000代",ACT,任天堂,マリオ&ソニックAT北京オリンピック,-,10569,59,,-,,,,,,,大橋修,
2007-11-22,-,-,-,バンダイナムコ,ゲゲゲの鬼太郎妖怪大運動会,-,10717,0,,-,,,,,,,,
2007-11-22,-,-,-,D3パブリッシャー,ドラゴンブレイド,-,10982,0,,-,//トーマス・チョン|ダニエル・リー,,,トーマス・チョン|ダニエル・リー,ヘンリー・ライ,ダニエル・リー,,
2007-11-29,31,"￥7,000代",ACT,カプコン,戦国BASARA2英雄外伝ダブルパック,-,10874,0,,-,,,,,,,,
2007-11-29,-,-,-,タカラトミー,ナルト疾風伝激闘忍者大戦！EX2,-,10952,0,,-,,,,,,,,
2007-11-29,-,-,-,テクモ,スイングゴルフパンヤ2ndショット！,-,11075,0,,-,,,,,,,,
2007-12-01,-,-,-,任天堂,Wiiフィット(バランスWiiボード同梱),-,10570,0,,-,,,,,,,,
2007-12-06,-,-,-,セガ,ドラえもんWiiひみつ道具王決定戦！,-,10645,0,,-,,,,,,,,
2007-12-06,-,-,-,バンダイナムコ,たまごっちのフリフリ歌劇団！,-,10724,0,,-,,,,,,,,
2007-12-06,-,-,-,バンダイナムコ,はねるのトびらWiiギリギリッス,-,10736,0,,-,,,,,,,,
2007-12-06,-,-,-,バンダイナムコ,みんなで遊ぼう！ナムコカーニバル,-,10752,0,,-,,,,,,,,
2007-12-06,-,-,-,ユービーアイソフト,ラビッツ・パーティーリターンズ,-,10979,0,,-,,,,,,,,
2007-12-06,34,"￥7,000代",ACT,マーベラス,ノーモア★ヒーローズ,-,10992,0,,-,須田剛一//須田剛一|コザキユースケ,須田剛一,,須田剛一|コザキユースケ,高田雅史|福田淳,須田剛一,和田康宏,
2007-12-06,-,-,-,THQジャパン,ディズニープリンセス魔法の世界へ,-,11039,0,,-,,,,,,,,
2007-12-13,-,-,-,セガ,ナイツ星降る夜の物語,-,10646,0,,-,,,,,,,,
2007-12-13,33,"￥7,000代",RPG,スクウェア・エニックス,チョコボの不思議なダンジョン時忘れの迷宮,-,10674,0,,-,,,,,植松伸夫|谷岡久美|高橋雄蔵,長山豊,横山祐樹|橋本真司,
2007-12-13,-,-,-,バンダイナムコ,ソウルキャリバーレジェンズ,-,10722,0,,-,,,,,,,,
2007-12-13,32,"￥6,000代",SPT,カプコン,ウィーラブゴルフ！,ゴルフ,10850,0,,-,,,,,,,,
2007-12-13,-,-,-,アークシステムワークス,プチコプターWiiアドベンチャーフライト,-,11028,0,,-,,,,,,,,
2007-12-13,-,-,-,アークシステムワークス,式神の城3,-,11029,0,,-,須田直樹//,須田直樹,,,,,,
2007-12-13,-,-,-,サクセス,上海,-,11066,0,,-,,,,,,,,
2007-12-20,-,-,SPT,コナミ,実況パワフルプロ野球Wii決定版,野球,10845,0,,-,,,,,,,,
2007-12-20,-,-,-,エレクトロニック・アーツ,FIFA08ワールドクラスサッカー(EASPORTS),-,10913,0,,-,,,,,,,,
2007-12-20,-,-,-,ユービーアイソフト,にゃんこと魔法のぼうし,-,10966,0,,-,,,,,,,,
2007-12-20,-,-,-,ユービーアイソフト,わんこと魔法のぼうし,-,10967,0,,-,,,,,,,,
2007-12-20,-,-,-,THQジャパン,スポンジ・ボブとなかまたちトイボットのこうげき,-,11035,0,,-,,,,,,,,
2007-12-20,-,-,-,THQジャパン,ルイスと未来泥棒ウィルバーの危険な時間旅行,-,11042,0,,-,,,,,,,,
2007-12-20,-,-,-,スターフィッシュ,雪ん娘大旋風さゆきとこゆきのひえひえ大騒動,-,11106,0,,-,,,,,,,,
2007-12-20,-,-,-,日本システム,クレイジークライマーWii,-,11122,0,,-,,,,,,,,
2007-12-27,-,-,-,バンダイナムコ,アニメスロットレボリューションパチスロ機動戦士ガンダム2哀・戦士編,-,10714,0,,-,,,,,,,,
2007-12-27,-,-,-,バンダイナムコ,のだめカンタービレドリーム☆オーケストラ,-,10733,0,,-,,,,,,,,
2007-12-27,-,-,-,タカラトミー,人生ゲームWii,-,10961,0,,-,,,,,,,,
2007-12-27,-,-,-,D3パブリッシャー,遊んで覚えるTHEパーティー・カジノ(SIMPLEWiiシリーズVol.3),-,10986,0,,-,,,,,,,,
2007-12-27,-,-,-,D3パブリッシャー,誰でも遊べるTHEシューティング・アクション(SIMPLEWiiシリーズVol.4),-,10987,0,,-,,,,,,,,
2007-12-27,-,-,-,ロケットカンパニー,漢検Wii漢字王決定戦(財団法人日本漢字能力検定協会公認),-,11080,0,,-,,,,,,,,
2007-12-27,-,-,-,SNK,メタルスラッグコンプリート,-,11091,0,,-,,,,,,,,
2008-01-10,-,-,-,マーベラス,家庭教師ヒットマンリボーン！ドリームハイパーバトル！Wii,-,11006,0,,-,,,,,,,,
2008-01-17,-,-,-,セガ,ソニックライダーズシューティングスターストーリー,-,10647,0,,-,"森本兼次郎//森本兼次郎|宮本裕司|Masanosuke Shimizu|森屋英明",森本兼次郎,,"森本兼次郎|宮本裕司|Masanosuke Shimizu|森屋英明",澤田朋伯|床井健一|熊谷文恵|小林秀聡,白石雅彦|前川司郎|宮本裕司,森本兼次郎,
2008-01-17,31,-,ACT,アトラス,カドゥケウスニューブラッド,-,11085,0,,-,,,,,,,,
2008-01-31,40,-,-,任天堂,大乱闘スマッシュブラザーズX,-,10571,156,,-,桜井政博//,桜井政博,,,,野島一成(亜空の使者),田邊賢輔|寺崎啓祐|坂本哲哉,
2008-01-31,30,-,SPT,バンダイナムコ,ファミリースキー,-,10738,0,,-,,,,,,,,
2008-01-31,-,-,-,エレクトロニック・アーツ,ニード・フォー・スピードプロストリート,-,10932,0,,-,,,,,,,,
2008-02-07,-,-,-,タカラトミー,メジャーWii投げろ！ジャイロボール！！,-,10958,0,,-,,,,,,,,
2008-02-07,-,-,-,D3パブリッシャー,お姉チャンバラレボリューション,-,10980,0,,-,,,,,,,,
2008-02-14,-,-,-,エレクトロニック・アーツ,メダル・オブ・オナーヒーローズ2,-,10945,0,,-,,,,,,,,
2008-02-14,-,-,-,エレクトロニック・アーツ,メダル・オブ・オナーヒーローズ2(Wiiザッパー同梱版),-,10946,0,,-,,,,,,,,
2008-02-14,-,-,-,THQジャパン,WWE2008スマックダウンvsスロウ,-,11032,0,,-,,,,,,,,
2008-02-21,-,-,-,セガ,ミブリー&テブリー,-,10648,0,,-,,,,,,,,
2008-02-21,35,-,-,コナミ,ウイニングイレブンプレーメーカー2008,-,10833,0,,-,,,,,,,,
2008-02-28,-,-,-,セガ,ウチ釣りッ！バスフィッシング,-,10649,0,,-,,,,,,,,
2008-02-28,-,-,-,タカラトミー,チョロQWii,-,10956,0,,-,,,,,,,,
2008-02-28,-,-,-,D3パブリッシャー,THEブロックくずし(SIMPLEWiiシリーズVol.5),-,10988,0,,-,,,,,,,,
2008-02-28,-,-,-,D3パブリッシャー,THEワイワイ・コンバット(SIMPLEWiiシリーズVol.6),-,10989,0,,-,,,,,,,,
2008-02-28,-,-,-,ジャレコ,全国デコトラ祭り,-,11093,0,,-,,,,,,,,
2008-03-06,31,-,ACT,任天堂,メトロイドプライム3コラプション,-,10572,0,,-,"Mark Pacini//","Mark Pacini",,,山本健誌|濱野美奈子|田島賢,,田邊賢輔,
2008-03-06,-,-,-,任天堂,みんなの常識力テレビ,-,10573,0,,-,,,,,,,,
2008-03-06,-,-,-,バンダイナムコ,ファミリージョッキー,-,10737,0,,-,/T.FUKUMOTO|宇田川治久|はなおかくみ/,,T.FUKUMOTO|宇田川治久|はなおかくみ,,小沢純子,,,
2008-03-06,-,-,-,コーエー,信長の野望革新withパワーアップキット&三國志11withパワーアップキットツインパック,-,10895,0,,-,,,,,,,,
2008-03-06,-,-,-,コーエー,信長の野望革新withパワーアップキット,-,10896,0,,-,,,,,,,,
2008-03-06,-,-,-,エレクトロニック・アーツ,プレイグラウンド公園であそぼう！,-,10937,0,,-,,,,,ナオト・インティライミ(作詞・作曲),,,
2008-03-13,-,-,-,コーエー,ウイニングポスト7マキシマム2008,-,10887,0,,-,,,,,,,,
2008-03-13,-,-,-,アクティビジョン,トランスフォーマーTHEGAME,-,11022,0,,-,,,,,,,,
2008-03-13,-,-,-,スティング,バロックforWii,-,11098,0,,-,,,,,,,,
2008-03-19,-,-,-,セガ,ザ・ハウス・オブ・ザ・デッド2&3リターン,-,10650,0,,-,,,,,,,,
2008-03-19,-,-,-,セガ,ザ・ハウス・オブ・ザ・デッド2&3リターン(Wiiザッパー同梱版),-,10651,0,,-,,,,,,,,
2008-03-19,-,-,SPT,ハドソン,デカスポルタWiiでスポーツ10種目！,-,10775,27,,-,,,,,,,,
2008-03-19,-,-,-,ハドソン,ボンバーマンランドWii(ハドソン・ザ・ベスト),-,10802,0,,-,,,,,,,,
2008-03-19,-,-,-,アクティビジョン,スパイダーマン3,-,11020,0,,-,,,,,クリストファー・ヤング,スタン・リー|スティーヴ・ディッコ,,
2008-03-27,-,-,-,エレクトロニック・アーツ,ニンジャリフレックス,-,10926,0,,-,,,,,,,,
2008-03-27,-,-,-,ユービーアイソフト,ニトロバイク,-,10965,0,,-,,,,,,,,
2008-03-27,-,-,-,アクティビジョン,レゴスター・ウォーズコンプリート・サーガ,-,11023,0,,-,,,,,,,,
2008-03-27,31,-,ACT,スパイク,トゥームレイダーアニバーサリー,-,11054,0,,-,,,,,,,,
2008-04-10,37,-,-,任天堂,マリオカートWii(Wiiハンドル同梱),-,10555,360,,-,,,,,,,,
2008-04-10,-,-,-,マイルストーン,マイルストーンシューティングコレクションカラスWii,-,11048,0,,-,松永浩志//,松永浩志,,,峰岸透|藤井志帆|富永真央,,杉山直,
2008-04-24,-,-,-,アイディアファクトリー,お掃除戦隊くりーんきーぱー,-,11107,0,,-,,,,,,,,
2008-04-24,-,-,-,アイディアファクトリー,お掃除戦隊くりーんきーぱー限定版,-,11108,0,,-,,,,,,,,
2008-05-01,30,-,ACT,任天堂,リンクのボウガントレーニング(Wiiザッパー同梱),-,10574,23,,-,,,,,,,,
2008-05-01,-,-,-,バンダイナムコ,プロ野球ファミリースタジアム,-,10750,0,,-,//岸本好弘|HIE(小野浩)|くんちゃん(小野泰),,,岸本好弘|HIE(小野浩)|くんちゃん(小野泰),中潟憲雄,,永島洋武,
2008-05-15,-,-,-,任天堂,突撃！！ファミコンウォーズVS,-,10575,0,,-,,,,,,,,
2008-05-22,-,-,-,アクティビジョン,ギターヒーロー3レジェンド・オブ・ロック,-,11017,0,,-,,,,,,,,
2008-05-22,-,-,-,アクティビジョン,ギターヒーロー3レジェンド・オブ・ロックレスポールコントローラ同梱セット,-,11018,0,,-,,,,,,,,
2008-05-22,-,-,-,サクセス,どうぶつ奇想天外！謎の楽園でスクープ写真を激写せよ！,-,11065,0,,-,,,,,,,,
2008-05-29,-,-,-,バンダイナムコ,ファミリートレーナーファミリートレーナー専用マットコントローラ同梱,-,10742,0,,-,,,,,,,,
2008-05-29,-,-,-,カプコン,バイオハザード4Wiiエディション(ベストプライス！),-,10867,0,,-,,,,,,,,
2008-06-05,35,-,RPG,セガ,不思議のダンジョン風来のシレン3からくり屋敷の眠り姫,-,10652,0,,-,,,,,,,,
2008-06-19,-,-,SPT,任天堂,スーパーマリオスタジアムファミリーベースボール,野球,10576,0,,-,,,,,,,,
2008-06-19,-,-,-,セガ,ぷよぷよ！15thanniversaryスペシャルプライス,-,10671,0,,-,,,,,,,,
2008-06-19,-,-,ADV,コーエー,遙かなる時空の中で4,-,10905,0,,-,//水野十子,,,水野十子,,,,
2008-06-19,-,-,-,ディズニー,ナルニア国物語第2章カスピアン王子の角笛,-,10983,0,,-,,,,,ハリー・グレッグソン=ウィリアムズ,C・S・ルイス|『カスピアン王子のつのぶえ』,,
2008-06-26,31,-,RPG,バンダイナムコ,テイルズ・オブ・シンフォニアラタトスクの騎士,-,10728,0,,-,佐藤祐一|猪ノ木麻奈|服部秀樹//奥村大悟|藤島康介,佐藤祐一|猪ノ木麻奈|服部秀樹,,奥村大悟|藤島康介,桜庭統|田村信二,平松正樹|実弥島巧(シナリオ原案・協力),郷田努|小西輝彰(制作プロデューサー),
2008-06-26,-,-,-,AQインタラクティブ,ザ・ワールド・オブ・ゴールデンエッグスノリノリリズム系,-,11081,0,,-,,,,,,,,
2008-07-03,-,-,-,スパイク,ジャワマンモスとヒミツの石,-,11051,0,,-,,,,,,,,
2008-07-03,-,-,-,サクセス,アッコでポン！イカサマ放浪記,-,11064,0,,-,,,,,,,,
2008-07-10,-,-,-,ハドソン,イラストロジック+からふるロジック(パズルシリーズVol.2),-,10796,0,,-,,,,,,,,
2008-07-10,-,-,-,カプコン,バイオハザード0,-,10861,0,,-,小田晃嗣//,小田晃嗣,,,小渕世子,,三並達也,
2008-07-17,33,-,ADV,エレクトロニック・アーツ,ブームブロックス,-,10938,0,,-,,,,,,,,
2008-07-24,31,-,ACT,任天堂,ワリオランドシェイク,-,10577,0,,-,,,,,冨田朋也|濱野美奈子,,,
2008-07-24,-,-,-,ハドソン,めざせ！！釣りマスター世界にチャレンジ！編,-,10805,0,,-,,,,,,,,
2008-07-24,-,-,SPT,コナミ,実況パワフルプロ野球15,野球,10842,0,,-,,,,,,,,
2008-07-24,-,-,-,アクティビジョン,カンフー・パンダ,-,11014,0,,-,,,,,ハンス・ジマー|ジョン・パウエル,ジョナサン・アイベル(英語版)|グレン・バーガー(英語版),,
