発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2003-06-27,-,-,-,任天堂,どうぶつの森e+,,3817,0,,江口勝也|野上恒,,,戸高一生(サウンドディレクター)|峰岸透|永田権太,,手塚卓志,
2003-07-03,-,-,-,カプコン,"アウトモデリスタ U.S.-tuned",,3882,0,,,,,,,,
2003-07-10,-,-,-,インフォグラムジャパン,Vラリー3,,3883,0,,,,,,,,
2003-07-10,-,-,-,ハドソン,"ハドソンセレクション Vol.1 キュービックロードランナー",,3953,0,,,,,,,,
2003-07-10,-,-,-,ハドソン,"ハドソンセレクション Vol.2 スターソルジャー",,3836,0,,,,,,,,
2003-07-11,-,-,-,バンダイ,ケロケロキングDX,,3954,0,,,,,,,,
2003-07-11,-,-,-,任天堂,カービィのエアライド,,3955,0,,桜井政博,渡辺浩一,北健一郎,安藤浩和|酒井省吾|池上正|石川淳,,菅浩秋|谷村正仁|宮本茂,
2003-07-17,-,-,-,コナミ,実況パワフルプロ野球10,,3956,0,,,,,,,,
2003-07-17,-,-,-,バンプレスト,チャリンコヒーロー,,3884,0,,,,,,,,
2003-07-18,-,-,-,エポック社,"ドラえもん みんなで遊ぼう!ミニドランド",,3957,0,,,,,,,,
2003-07-18,-,-,-,ポケモン,"ポケモンチャンネル ピカチュウといっしょ!",,3818,0,,,,,,,,
2003-07-25,-,-,-,任天堂,"F-ZERO GX",,3885,0,,,,,,,,
2003-07-31,-,-,-,アスミック・エース,"ルパン三世 海に消えた秘宝",,3830,0,,,,,,,,
2003-07-31,-,-,-,トミー,"モノポリー めざせっ!!大富豪人生!",,3858,0,,,,チャールズ・B・ダロウ (en) ,,,,
2003-07-31,-,-,-,ハドソン,"ボンバーマンランド2 ゲーム史上最大のテーマパーク",,3958,0,,矢山秀樹|村田武司|城戸保行,,水野祥司,岩本守弘|笠井勲,,浦俊治,
2003-08-07,-,-,-,カプコン,"バイオハザード コード：ベロニカ 完全版",,3959,0,,,,,,,,
2003-08-07,-,-,-,カプコン,"バイオハザード コレクターズボックス",,3960,0,,,,,,,,
2003-08-08,-,-,-,スクウェア・エニックス,"ファイナルファンタジー クリスタルクロニクル",,3774,0,,青木和彦,,紙山満|板鼻利幸,谷岡久美|Remastered|岩崎英則,片岡正博,河津秋敏,
2003-08-08,-,-,-,バンダイ,"ドラゴンドライブ ディマスターズショット",,3837,0,,,,梅原隆弘,光宗信吉,佐倉ケンイチ,,
2003-08-29,-,-,-,ナムコ,"テイルズ オブ シンフォニア",,3796,0,,樋口義人|岡本進一郎(チーフディレクター),,藤島康介|松島晃,"ZIZZ STUDIO",金月龍之介,吉積信,
2003-09-05,-,-,-,トミー,ゾイドバーサス2,,3961,0,,,,,,,,
2003-09-05,-,-,-,任天堂,"マリオゴルフ ファミリーツアー",,3962,0,,,,,,,,
2003-09-11,-,-,-,セガ,"激闘プロ野球 水島新司オールスターズ VS プロ野球",,3963,0,,,,,,,,
2003-09-12,-,-,-,マーベラスインタラクティブ,"牧場物語 ワンダフルライフ",,3819,0,,,,,,,,
2003-09-25,-,-,-,ハドソン,"天外魔境2 MANJIMARU",,3797,0,,桝田省治,岩崎啓眞|長谷川浩|藪芳昭|蝦名寿昌,広井王子(企画・監修)|辻野寅次郎(絵師・作画監督)|天城秀行,久石譲|福田裕彦,桝田省治(脚本・構成)|あだちひろし(翻案),清水始,
2003-10-03,-,-,-,タイトー,"天才ビットくん グラモンバトル",,3821,0,,,,,,,,
2003-10-09,-,-,-,セガ,"ジャイアントエッグ ビリー・ハッチャーの大冒険",,3964,0,,,,,ナオト・インティライミ(作詞・作曲),,,
2003-10-17,-,-,-,任天堂,"あつまれ!! メイドインワリオ",,3859,0,,阿部悟郎,,竹内高,吉冨亮二,,,
2003-10-24,-,-,-,キッズステーション,式神の城2,,3775,0,,須田直樹,,,,,,
2003-11-07,-,-,-,任天堂,"マリオカート ダブルダッシュ!!",,3886,0,,水木潔(チーフディレクター)|大八木泰幸|白井太|今井大二,,,永田権太|田中しのぶ,,宮本茂|杉山直|高橋伸也|手塚卓志,
2003-11-07,-,-,-,ユークス,レッスルマニア19,,3966,0,,,,,,,,
2003-11-13,-,-,-,エレクトロニック・アーツ,"ハリー・ポッター クイディッチ・ワールドカップ",,3967,0,,,,,,,,
2003-11-21,-,-,-,エレクトロニック・アーツ,"スター・ウォーズ ローグ スコードロン3",,3838,0,,,,,,,,
2003-11-21,-,-,-,ポケモン,ポケモンコロシアム,,3798,0,,,,,,,,
2003-11-27,-,-,-,カプコン,ガチャフォース,,3968,0,,,,,,,,
2003-11-27,-,-,-,セガ,"ファンタシースターオンライン エピソード1＆2plus",,3799,0,,,,,,,,
2003-11-27,-,-,-,セガ,"ファンタシースターオンライン エピソード3 カードレボリューション",,3860,0,,,,,,,,
2003-11-27,-,-,-,ナムコ,"R レーシングレボリューション",,3887,0,,,,,PCM,,,
2003-11-28,-,-,-,バンダイ,ドラゴンボールZ,,3969,0,,"西尾大介(第1話 - 第199話 + SP2話)",,"前田実(第1話 - 第199話 + SP2話)|中鶴勝祥(第200話 - 第291話)",菊池俊輔,鳥山明,,
