発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,価格帯,売り上げ本数TOP50,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1991-07-19,-,4,ACT,パックインビデオ,ダイハード,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-07-19,-,2,PZL,アイジーエス,パズニック,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1991-07-19,-,4,TAB,ココナッツジャパン,パチンコ大作戦1,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-07-19,30,6,RAC,ナムコ,ファミリーサーキット'91,"￥7,800","￥8,000代",0,1,,,,,,,,-,-,-,-,-,
1991-07-19,-,4,ACT,カプコン,リトルマーメイド-人魚姫-,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-07-26,-,4,ACT,テクノスジャパン,ダウンタウンスペシャルくにおくんの時代劇だよ全員集合,"￥6,500","￥6,500代",0,1,,吉田晄浩,南波靖一郎(メインプログラマー)|大日方忠道(背景チェック担当)|松本康宏(メニュー周り担当)|森真一(ショップ周り担当),根立克行(キャラ担当)|東郷和代(背景担当),田崎寿子,,,-,-,-,-,-,
1991-07-31,-,5,RPG,Ｍ＆Ｍ,おたくの星座,"￥6,900","￥7,000代",0,1,,てんまんしげのり,あーぴーぱー,"永井努|きむらひでのり|JIM BOY|江口寿史",笠井治|原田昌亮,本宮ひろ志|武田亨,武田亨,-,-,-,-,-,
1991-08-02,-,4,ACT,タイトー,SD刑事ブレイダー,"￥6,400","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-08-02,-,5,SHT,アイジーエス,ロボッ子ウォーズ,"￥6,900","￥7,000代",0,1,,,,,デイヴィッド・アーカンストーン,ジャクソン・バー,,-,-,-,-,-,
1991-08-03,-,3,RAC,アルトロン,スーパースプリント,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-08-03,-,5,ETC,バンプレスト,マイライフマイラブぼくの夢わたしの願い,"￥9,600","￥9,500代",0,1,,,,,,,,-,-,-,-,-,
1991-08-09,-,5,ACT,アイジーエス,アルマジロ,"￥6,900","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1991-08-09,-,2,PZL,アテナ,DEBLOCK(デブロック),"￥4,980","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1991-08-09,-,4,ACT,バップ,ドキ！ドキ！遊園地～クレイジーランド大作戦～,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-08-09,-,5,RPG,ケムコ,ドラゴンウォーズ,"￥6,800","￥7,000代",0,1,,,レベッカ・ハインマン,ポール・オコーナー|ブライアン・ファーゴ|トッド・J・キャマスタ,カート・ハイデン,,ブライアン・ファーゴ|ブルース・シュリックベルンド,-,-,-,-,-,
1991-08-09,-,4,RPG,アスク講談社,百の世界の物語,"￥6,200","￥6,000代",0,1,,高瀬俊一,MASAHIRO.A,わきあかつぐみ|鳥居雅博,浅川政夫,,ふたみひろし,-,-,-,-,-,
1991-08-10,-,5,RPG,バンダイ,ドラゴンボールZⅡ激神フリーザ！！,"￥8,200","￥8,000代",79,1,,杉本則之,しみずかずや,N.SUGIMOTO|T.EGUCHI|MUGARUTIE|SOBA,いちだたけし,杉本則之,,-,-,-,-,-,
1991-08-21,-,4,SLG,ポニーキャニオン,A列車で行こう,"￥7,800","￥8,000代",0,1,,,,,,,,-,-,-,-,-,
1991-08-27,-,4,SHT,コナミ,クライシスフォース,"￥6,000","￥6,000代",0,1,,,小川光章|山口誠,岸本方彰|片上史将,松原健一|まんのやすひこ|中馬淳,,,-,-,-,-,-,
1991-08-29,-,5,SLG,光栄,ロイヤルブラッド,"￥9,800","￥10,000代",0,1,,,,,伊藤ヨシユキ|新田真澄,,シブサワ・コウ,-,-,-,-,-,
1991-08-30,-,6,ADV,HAL研究所,メタルスレイダーグローリー,"￥8,900","￥9,000代",0,1,,☆よしみる,向井忠,☆よしみる|☆よしみる|おおのさとし,京田誠一,☆よしみる,,-,-,-,-,-,
1991-08-30,-,4,ACT,アイレム,快傑ヤンチャ丸2からくりランド,"￥5,800","￥6,000代",0,1,,,,,山崎憲司,,,-,-,-,-,-,
1991-09-13,-,5,ACT,ビスコ,ウエスタンキッズ,"￥7,800","￥8,000代",0,1,,うさみけいすけ,桑村英樹|斎藤潤,増田祐司|増田祐司|森賢一,岩田匡治,,秋山哲雄,-,-,-,-,-,
